id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugww2DUGHHaCxFGDtit4AaABAg.8cfIxHzmBlh8cfQHxa41k6		2	2018-02-15 04:10:50	Matthew Mcwillams	Latitud 150, it won't keep a Psychopath from getting a gun, and shooting up a school. As the video just reinforced a backfire in your ideas. I'd rather have 5 or 6 ARMED officers in my school - If i was still in High school to do what their trained to do. Protect us. Also, they are working on the ability to allow teachers to possess firearms in the classroom, this idea is being tested by Colleges across America. I carried on campus when I was in college recently, for this very reason.	UCG4h-0xfsJtY05iKW90hfUQ	http://www.youtube.com/channel/UCG4h-0xfsJtY05iKW90hfUQ	1	Ugww2DUGHHaCxFGDtit4AaABAg	Yazmin Ramos Hernandez
Ugww2DUGHHaCxFGDtit4AaABAg.8cfIxHzmBlh8cfPPV00KKO		4	2018-02-15 04:03:08	Sammy Sam	Yazmin Ramos Hernandez And not one mention about an assault rifle being used. I'm a gun owner. Other than having the right to own a weapon, there is absolutely zero logical reason for owning an assault rifle. They were made for one purpose only, to kill. But you're absolutely right, arming teachers will prevent all mass shootings.	UCnIxYhWMdQtxGqYpl2V6YPg	http://www.youtube.com/channel/UCnIxYhWMdQtxGqYpl2V6YPg	1	Ugww2DUGHHaCxFGDtit4AaABAg	Yazmin Ramos Hernandez
Ugww2DUGHHaCxFGDtit4AaABAg.8cfIxHzmBlh8cfNqpoqO1A		5	2018-02-15 03:49:31	Latitud 150	Yazmin Ramos Hernandez you are crazy, I don't want my children in militarized schools. Keep your kid homeschooled and keep your whacky ideas to yourself. Background and pyschological checks for anyone wanting to purchase a gun!	UCqo1aAsVB8fUxRNq7kcHrYA	http://www.youtube.com/channel/UCqo1aAsVB8fUxRNq7kcHrYA	1	Ugww2DUGHHaCxFGDtit4AaABAg	Yazmin Ramos Hernandez
Ugww2DUGHHaCxFGDtit4AaABAg.8cfIxHzmBlh8cfMjH6wheb		4	2018-02-15 03:39:45	Liezuli	Inb4 good guy with gun is first to be shot.	UCTZxJ72ZLzAeKBjB_gInvCQ	http://www.youtube.com/channel/UCTZxJ72ZLzAeKBjB_gInvCQ	1	Ugww2DUGHHaCxFGDtit4AaABAg	Yazmin Ramos Hernandez
Ugww2DUGHHaCxFGDtit4AaABAg.8cfIxHzmBlh8cfM6lqQgmM		11	2018-02-15 03:34:22	Austin Woosley	"Gun free zones are only gun free for the victims." Well said my man. Poetry.	UCWf4emHjK5PZUVhwvM2xcKQ	http://www.youtube.com/channel/UCWf4emHjK5PZUVhwvM2xcKQ	1	Ugww2DUGHHaCxFGDtit4AaABAg	Yazmin Ramos Hernandez
Ugww2DUGHHaCxFGDtit4AaABAg.8cfIxHzmBlh8cfKQrIHZcm		5	2018-02-15 03:19:37	Wonder_9	Yazmin Ramos Hernandez teachers and staff don’t need weapons. The solution would be giving the security guards defense weapons and placing more SROs in facilities	UC43mYeHpDNzAvE83Eytk1WQ	http://www.youtube.com/channel/UC43mYeHpDNzAvE83Eytk1WQ	1	Ugww2DUGHHaCxFGDtit4AaABAg	Yazmin Ramos Hernandez
Ugz0QS61plrPOfWcsbB4AaABAg	0	0	2018-02-15 03:06:39	John Spurlock	Remember when they said they were going to put police officers at each school where are those police officers at can you not see this is all government inspired	UCG9paXF1ZsGMNwD0uHCAcEw	http://www.youtube.com/channel/UCG9paXF1ZsGMNwD0uHCAcEw	0		
UgxPQAWc9W2eXUafimx4AaABAg	10	23	2018-02-15 03:06:35	Esther Levy	Still cant have my gun.	UC98u-Ao0ZQw4vc_7-coYF9g	http://www.youtube.com/channel/UC98u-Ao0ZQw4vc_7-coYF9g	0		
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8ciawY57SQ7		0	2018-02-16 09:50:22	I came I saw I eat ass	Is that all u care about nigga?	UCzzcEQ-AxatwDZ8EZFzXZZQ	http://www.youtube.com/channel/UCzzcEQ-AxatwDZ8EZFzXZZQ	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8ci6CEpLGa4		0	2018-02-16 05:13:01	Latitud 150	Sammy Sam they love their guns more than our children UNTIL it hits too close to home. When the next victims are at their child's high school, we'll see if they will turn it political and say everyone should have access to guns. It's a very selfish mentality.	UCqo1aAsVB8fUxRNq7kcHrYA	http://www.youtube.com/channel/UCqo1aAsVB8fUxRNq7kcHrYA	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
